电影名,电影网址,导演,编剧,主演,评分,评分人数,评分额外信息,类型,制片国家/地区,语言,上映时间,时长,剧情简介,获奖情况,热门评论,海报链接,海报保存路径,剧照链接,剧照保存路径,视频链接,视频保存路径
爱·回家 집으로...,https://movie.douban.com/subject/1299361/,李廷香,李廷香,"['金艺芬', '俞承豪', '童孝熙', '闵京勋', '任恩敬']",9.1,81189,"好于98%剧情片,好于98%家庭片",剧情/家庭,韩国,韩语,2002-04-05(韩国),80分钟,为了方便找工作，妈领着7岁的相宇（俞承浩饰）去乡下的外婆家，想把他暂时留在那里。外婆（金亦芬饰）年事已高，不能说话也不识字。而一直生活在城市里的孙子相宇，刚开始无法适应连游戏机、电池都没得卖的乡下生活。他开始蛮横地流露出不满，抱怨这个抱怨那。为了买电池，偷走外婆的银头簪拿去卖；外婆得知孙子想吃炸鸡，却只理解到鸡肉，炖了只鸡给孙子吃，却被生气的相宇踢翻了。老人家默默包容着孙子的一切，渐渐的，相宇也体会到外婆的良苦用心，适应并喜欢上了乡下生活。,['最佳亚洲电影(提名)'],[],"['https://img9.doubanio.com/view/photo/m/public/p2107418134.jpg', 'https://img2.doubanio.com/view/photo/m/public/p480228042.jpg', 'https://img2.doubanio.com/view/photo/m/public/p826382883.jpg', 'https://img1.doubanio.com/view/photo/m/public/p703366178.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2580569769.jpg']",./data2/post_video/李廷香/爱·回家 집으로/image,"['https://img2.doubanio.com/view/photo/sqxs/public/p2550784862.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p1959432095.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2550785078.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p776157486.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2172005016.jpg']",./data2/post_video/李廷香/爱·回家 집으로/image,['https://vt1.doubanio.com/202204262117/b1d91709c0d36f7e939e29c7b18c98a8/view/movie/M/301370771.mp4'],./data2/post_video/李廷香/爱·回家 집으로/video
今天 오늘,https://movie.douban.com/subject/5294326/,李廷香,李廷香,"['宋慧乔', '宋昌义', '奇太映', '南智贤']",7.5,9673,好于51%剧情片,剧情,韩国,韩语,2011-10-27(韩国),115分钟,在教会的仪式上，多惠（宋慧乔 饰）对于未婚夫的意外死亡表现得极为大度，她甚至原谅了肇事者——年仅17岁的智敏，还替对方写了请愿书向法官求情。然而，未婚夫的大姐却对此耿耿于怀，她甚至指责多惠没有让杀人凶手得到惩罚。临别时，大姐送给了多惠生日礼物。而这让多惠陷入了对亡夫的追忆之中：一年前的某个雨夜，未婚夫驾车载多惠一道回家，因为那一天是她的生日，他们回忆起恋爱时的美好回忆，感到无比幸福。此时，未婚夫接到了烂醉好友的电话，多惠体贴地让他先去照顾好友，自己乘公车回家。没想到，这次分别竟成为诀别。雨夜，未婚夫被智敏飞驰的摩托车撞死。闻悉噩耗的多惠，始终保持了隐忍和克制，不仅原谅了智敏，而且还以宽宥的心拍摄宽容的纪录片，并支持废除死刑的教会活动。期间，她采访了形形色色的人物，见证了人性的诸般形态。当她了解到智敏的不幸遭遇，颇感震惊……,INF,"['竭力想探讨一个有关宽恕与救赎的深刻而庞大的命题，能力上却驾驭不了。问题都提出来了，深度也略有触及，然而力度不到，各方面都欠些火候。表演首先就跟《密阳》不在一个段位。李沧东是处处留白。李廷香却似乎试图将《密阳》未道尽的地方全部用大段说教填满，抒情也啰嗦，女导演总改不了这个毛病。', '这类亲情的伦理题材在人性的层面上纠结是正常的，但相比全度妍的【密阳】，宋慧乔的表演还是显得过于单薄了点，导演的说教做法也比较低端，毕竟这样的故事本来就很难有发挥的空间，一切只能在情理之中。★★★', '关于原谅与忘记痛苦的过往。多少有点虐心，不过最后情绪放的还不错 。太多闪回与想象，看着有点乱。', '要把每一天都当成世界末日般度过，用力生活。PS：希望下辈子加害者和被害者的人生角色互换，五倍、十倍、一百倍的报复给他们吧！', '总觉得写故事的人也还在原谅与被原谅里面绕圈圈，电影试图通过细节表现的内容过于繁杂，池敏和克拉拉的对白也太多。花了2小时的时间，却有种无力感，到最后我只记住了某个比喻和神父说的两句话（就一一不剧透了...）。btw~乔妹，你很努力，不过似乎还不能驾驭这个角色呢=。=', '很有深度的电影，全是内心戏，是关于心灵的救赎。宋慧乔真的进入了实力派，演技很好。小女孩演得很好，虽然年纪小却懂得很多。有林秀晶的范儿。中国就拍不出来这么有深度的电影。今天是昨天逝去的人们迫切渴望的明天。我们要把每一天当成最后一天，认真活每一天。就像今天。', '在这个世界，谁有资格要求别人宽恕痛彻骨髓的伤害？一千个人心中，自有一千种理解宽恕的方式。真正的怨恨无法消饵，而真正的宽恕，则是将这种怨恨推到心的边缘，好好爱自己，因为“今天是昨天逝去的人们迫切渴望的明天，我们要把每一天当成最后一天，认真活每一天，就像今天。”', '女导演才有的细腻 || 刚开始，以为是说教，但是之后徐徐展开的关于“原谅”的叩问，却很是合我心意！|| 宋慧乔演得不错 || 池敏这孩子真是让人心疼得紧，借着爱的名义虐待孩子的父母，真是让人恶心！', '原谅并不是消除怨恨，而是将怨恨推向心的边缘。', '2518 宽容？纵容？忏悔！ （一部用心之作）', '我也是 无法直面内心的恐惧。这才是最令人不安的事。', '救赎与被救赎，原谅与被原谅', '原谅是世界上最难的事情', '导演选了很女性很社会问题的角度。原谅了犯错的人并不代表罪人能够赎清罪孽，不能原谅的罪人却最终被免掉了社会林林总总的惩戒。原谅变成一种可有可无啼笑皆非的伪善。PS：乔妹脸有点僵啊～是不是打针了～', '拖拉，有想法，可惜没拍好', '这个题材。。。没有两把刷子还是别碰的好', '绝不会原谅。。恨不可能消失的。。。家暴的那个父母也该死！', '对原谅怀疑的讨论逐渐展开，乔妹演技越来越好了', '最后软了 可惜了', '“今天是昨天逝去的人们迫切渴望的明天，我们要把每一天当成最后一天，认真活每一天，就像今天。”', '不得不说，宋MM的演技提高了很多，剧情也不再是韩式泡菜催泪剧，过好自己的今天就够了，不要在虚伪的去原谅别人了，其实，别人未必需要你的原谅，那只不过是求自己的心安罢了。', '二次碾壓在韓國都上電影了，應該引進到中國來播一下', '”原谅并不是要消除仇恨，而是把仇恨推向心的边缘“关于“原谅”的一部电影，女导演李廷香时隔9年力作。（用怎样的语言记录都是乏味的，如果你心里期盼原谅一个人，或者祈求别人的原谅，就看看吧）', '原谅，伟大又无耻', '题材有点类似《密阳》。乔妹的内心挣扎戏还是挺虐心的。', '道理总结得不错，但推理过程有反复，逻辑混乱。荞麦跪地大哭的镜头也太密阳了吧。。。', '立意很深刻，宋慧乔的演技还是渐长，不过我觉得还是很不够。原谅还是憎恨，受害者和加害者，其实如果是我，我肯定要一直憎恨的。宗教在这里被讽刺了。池敏这孩子真让人揪心。', '是否就是药家鑫一幕呢', '今天，是昨天逝去的人迫切渴望的明天。', '乔妹的演技真的有提高。', '人性的善恶被剖析的很深刻。', '救赎和原谅是个好主题，但故事却很单调。乔妹的阅历也明显驾驭不了这个角色，李廷香的这次回归有点失利了。', '对白太多，并且非常之贫乏，一直围绕着值不值得原谅来回说。细节有很多但是找不到出彩的，前半段频繁的无缝闪回和整体的沉稳风格相比略显矫情。另外啊，宋慧乔你真的hold不住这个角色。', '답답해...', '演绎得实在有些乱，看得有些闷，主题很大，驾驭不了。最后仓促得答案给得不是时候。', '看了简介才想起来这部电影的内容，一部根本就记不住的电影，能好到哪儿去呢？宋慧乔的表演不能说不好，但比起傻傻的纯情主角来说，她变成普通人之后，真的就是个很普通的女人而已，没有光芒，也没有记忆。。。。其实这片子真的不用2星这样过分，但我确实对宋MM失望了，就像我如期的一样失望。', '宽恕还是怨恨，这是个永恒的话题，纠结着各种人性的阴暗面……隐忍真的不容易', '不是我喜欢的那种体裁。', '有点作。', '推荐指数3星半，题材很喜欢。', '人的内心是个无底洞', '宽恕与原谅到底有着怎样的道德标准，无论怎样这标准都不应是强加于人的，或是以神明的旨意约束于人的。在这样探讨最亲近的人与人的关系以及人类善与恶的庞大题材下，虽然是不太工整的文本和节奏感并不明确的叙事，还是以导演较强的叙事能力和强大到令人窒息的感染力让人震撼。', '和密阳有着相似的主题 但是小女孩那条副线又陷入了韩影长期以来的弊端 总是走极端 人物刻画片面化 但还是不错的一部', '原谅和希望本来就是脆弱的人不能直面现实残酷无法给自己一个合理解释之后的意淫产品，用这些来麻痹自己以获得活下去的理由。', '原谅还是不原谅？为什么要原谅…应该怎么原谅…什么事、谁值得原谅，不是TM的想原谅就原谅', '今天是昨天逝去的人们迫切渴望的明天', '不漂亮嘞', '韓國人拍細膩情感片還是有一手的。當年被導演的《愛，回家》弄得哭得死去活來。', '很难不联想到《密阳》，“我都还没原谅你，你已经原谅自己了？”一味地追求宽恕原谅是虚构的真善美，假大空的宗教思想。如果有人伤害你和你的家人，你应该先想想怎么报复，而不是什么狗屁原谅。', '纠结的电影，原谅是如此的虚伪']","['https://img2.doubanio.com/view/photo/m/public/p1449855111.jpg', 'https://img9.doubanio.com/view/photo/m/public/p1221755005.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2174007521.jpg']",./data2/post_video/李廷香/今天 오늘/image,"['https://img2.doubanio.com/view/photo/sqxs/public/p1262523581.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p1206918321.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p1229328817.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p1206919270.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p1001168203.jpg']",./data2/post_video/李廷香/今天 오늘/image,['https://vt1.doubanio.com/202204262119/8b9e73ee9921749162ca069393ac84eb/view/movie/M/301000885-1.mp4'],./data2/post_video/李廷香/今天 오늘/video
美术馆旁的动物园 미술관 옆 동물원,https://movie.douban.com/subject/1306467/,李廷香,李春连,"['沈银河', '李成宰', '安圣基']",7.5,2399,好于66%爱情片,爱情,韩国,韩语,2001-07-12,108 分钟,服兵役的哲洙（李成宰饰）回来时意外发现女友（宋善美饰）要另嫁他人，屋内只有个陌生女子春喜（沈银河饰），她是旧室友。由于在不知情下替春喜交了屋租，饱受打击的哲洙要暂居在此屋内。春喜爱睡懒觉，常不刷牙，不穿袜子，哲洙对邋遢的春喜不满，却帮她整理房间。彼此相互看不顺眼，但春喜出于同情，于是二人开始奇怪的“同居生活”。暗恋参议员助手（安圣基饰）的春喜为了拿到奖金，决心参加剧本创作比赛，哲洙也来凑热闹帮忙，剧中剧由此展开。他们一个憧憬恋爱，一个失恋疗伤，一个喜欢动物园，一个钟情美术馆，从互无好感到相处融洽，剧本也散发出特别味道。,['金爵奖 最佳影片(提名)'],"['培养感情只能靠同居实现', '比较喜欢影片后半部分。有一个长镜头 就是海报中的这个 女主角在雨中穿着那件红色的外套 打着黄色的雨伞 走过倒后镜 然后折回来 左照照 右照照 然后对着镜子臭美地转了一圈 实在太可爱了', '广角镜扭扭 多米诺CD 表达喜悦的方式可可爱爱的 怎么说 爱情还是令人向往的 近期晚上看没睡着的片子', '天真的像童话一般，就是剧本里的李老的有点悲催', '柔情……影片名字还是喜欢《美术馆旁的动物园》，很有味道。', '7/10。美术馆象征春喜热爱的诗意生活，追求无性的圣洁爱情，动物园象征哲洙热爱的欢快生活，觉得没人会投资没有性爱戏的剧本，写作就是心灵的交流：开场哲洙穿着红衣、口衔玫瑰，深陷爱恋，失恋后否认爱情，一直否认红色外套适合春喜，争吵后哲洙为表达歉意，把车停在巴士前直到春喜赶上才将车开走，尽管爱面子的春喜拒绝乘哲洙的车，但这种体贴使两人渐渐靠近，结尾春喜终于穿起心仪的红色外套，在路边倒后镜前转了几圈好好欣赏，大大咧咧的她开始安静吃饭、穿袜，哲洙也只在剧本结尾加上含蓄的吻。咖啡馆见面时哲洙、春喜和茶惠的位置形成圆形关系，剧本中茶惠将光盘摆成圆圈再全部推倒，或坐在壁灯投射的圆形光里，圆形象征爱恋的轮回；春喜和哲洙抢键盘的画面全黑变成帘子上的剪影，铺满金黄树叶的道路上茶惠骑车笑着与仁功擦身而过，充满视觉情趣。', '不错，挺好看的。简单的故事，却温暖人心。喜欢戏中戏，喜欢每一处小细节。', '你总是单恋对吧？那些睡太多的人都这样~我猜是天秤B遇见了处女A…', '女导演的细腻随处可见。觉得自己渐渐喜欢上了爱情电影呢。电影，是导演的第三只眼，它可以塑造多维的时空，这是电影的美好所在。有人说，爱情片需要好演员，完全同意；同时，它需要精巧的剧本；当然，最终要看导演如何去展现。年轻的沈银河和李成宰。美术馆和动物园。', '回头啊～宝贝儿～想要的变不给，给了你的说不定日子久了就想要了', '韩剧爱情还是有清白的时候，前提是放在十年前。一句话，文艺爱情类型片是可歌泣可圈点，商业爱情类型片是多哭泣多圈叉。', '很好看的爱情轻喜剧。。。沈银河并不出众的外表下总是让人感觉一股惊人的美丽。', '那时候的沈银河好年轻啊！', '地球和太阳的距离就是人类合适生存的距离；月亮和太阳的距离就是等待爱情的距离', '李延香导演除了爱 回家那部电影外似乎并没有什么特别突出的片。这更是一般的韩国爱情片，叙事缓慢，无奈没有耐心看下去。但好在两位主演都是喜欢的', '春嬉与自己对视的一幕很好。戏中戏有特别的调子，但里外都这么甜实在是不应该。', '不可思议又简单，却令人感动的爱情小品。剧中剧也很可爱！沈银河真是女神呀！尤其爱她每次吃饭前兴奋的怪叫。录像里夫妻的告白也让人动容：他完全不是我喜欢的那种类型啊，但是爱情很奇妙，它改变了一切感觉，甚至连他的口音都变成了动听的音乐。44:05', '早些时候看的一部电影，一部文艺片，一部小品，可能我是在电影最后才喜欢上这部电影的吧，但动物园，美术馆，两个人的小说……挺有味道的一部电影，美好的记忆……', '影片淡淡的,很清新,故事也很有意思,最喜欢女主角最后吵着去澡堂洗澡的情节.', '韓劇鼻祖啊~好多情節都被借鑒和模仿了 所以不只是漢城灰姑娘,普通人的愛情故事中的女主角也依然是神經大條粗枝大葉的 是篇幅關係嗎?關係發展太快了吧?跟陌生人同居0 0 沈銀河超級美~男主呃..其實電影的風格是我喜歡的,設計也夠特別,幾近四星啦!!', '很不错的爱情小品。单纯的她一直觉得爱是一见钟情，但却在和他的朝夕相处中开始感觉到爱的模糊不清；热烈的他一直觉得爱就是肉体关系，却在相逢时给了她浪漫一吻。性格迥异的两个人却能毫无芥蒂，彼此关心，最后和谐相处。非常简约的故事，却有余味。没有性爱的爱情电影，谁说不好看呢？', '沈银河最后的表情也太可爱了吧, 虽说是部看了开头就能猜出结尾的片子,但仍喜欢这部片子的色调, 暖暖的, 有胶片相机出来的效果.', '沈银河老可爱了', '美术馆=女人，如同艺术品般美丽，冷静，保守，默默的守护心中的爱。 动物园=男人，如同动物一般凶猛，狂放，直接，对爱不加以掩饰。', '这才是好的韩国爱情片，看来我还是偏于韩流风吹来前的韩国电影，弥补了我对追访有情人的遗憾', '今天看这部电影很无语~明明是韩国的，却是日本配音！！！可怜我们电影欣赏课的老师，分不清日语和韩语啊！！！所以，整个过程都很郁闷~感觉怪怪的，好好的韩国人，却一接电话就是：“MO XI MO XI~”OH MY GOD~~~我都快要疯了！！！另外，这部电影本身也不是我喜欢的那种调调~男女主人公小说里的人物——我是说那个兽医，也未免太老了吧！感觉都是爸爸级的人了~~片子的调走的很慢，细节颇多，亮点也是有的，只是因为这配音的问题，让我产生了先入为主的观念，于是乎，整个过程都非常难熬~~~', '这部片子我找了很多年，终于没有失望。沈银河太适合演这种随性邋遢又灵气十足的美丽女子了~', '挺温暖的片子，爱情就这样悄悄的来了。也很喜欢安圣基那一对，更喜欢另一个译名《美术馆旁边的动物园》', '那些吵闹的平淡的小幸福', '现在看真的感觉是很老的片子了，那样的妆容和服装，年代久远啊......不过又的确是我记忆中的沈银河，青春美丽，小学时喜欢的第一个韩国女明星~', '我看的要睡着了……', '这部电影让我爱上了韩国电影。我爱沈银河。', '好多年前看的，模糊的印象，但一定是不错的。', '1.越远的星走得越快，没人追得上。他就像那些星，我永远追不上。他跟我之间，有十亿光年的距离。月亮只给我们看它的一面，看不到它另一面，除非飞上去。2.宇宙不可以做实验，只可观察。3.听说宇宙那么黑，是因为星的单恋。因为星星的光得不到反射。4.我一定是月亮了，我没有日落。我的引力太弱，不能拉他近一点。我是没阳光可反射的隐形月亮。5.月圆之夜不易看到星星。6.夜空以秋天的最好，星星像印第安房子似的星罗棋布。7.我喜欢众多星星聚合闪烁的样子就好像碎朱古力雪糕。', '影响我着装品味的一部电影...', '一直以来，如果说对未来有期许，就是能有个像沈银河这样好看的女儿...', '这就是我想要的电影，可惜字幕太马虎了破坏了画面的温暖和浪漫 找时间再看一次', '“喜鹊”沈银河的眼睛。', '很细腻平淡的爱情文艺片，沈银河当年好有味道。', '剧本好才是真的好！很棒的剧中剧♥', '少數頂得順0既韓國戲', '结构颇有趣，戏中戏，主题音乐的旋律过了这么多年都还能哼的上来。', '開頭的方式已經被現在韓劇模式化了，一對被捲入同一事件的男女，偶然相遇，不停拌嘴，磕磕碰碰間互相牽掛、思念。當然看到最後也是這樣一個故事，但進程真的太有趣了。戲中戲也清新、羞澀、細膩、美好。沈銀河真萌啊，性格也可愛極了，怪不得被韓國人念念不忘。', '在那个韩片泛滥的年代，沈银河尤为突出的美。', '还不错的旧电影，没有一落俗套。', '现实和剧本两个故事都不怎么样，都是套路化，不过叠合在一起倒还可以', '可爱，温婉又细腻的电影，不愧是女导演，处处显而易见又能打动人心。', '爵士节奏的悠悠爱情。用宇宙来比喻爱情真是很妙，几次脑中出现用过同类比喻的”斯普特尼克恋人“。剧中剧还是挺不错的。', '真的很少看韩国电影，连着看第二部纯粹是出于对导演的信任。合拍对调的在一起。', '“爱情？我们一起那么久我都习惯了。”“收声！你不用那么说吧。”“我来生也会嫁给他，辛苦地习惯了她，还要再来一次吗？”']","['https://img2.doubanio.com/view/photo/m/public/p2176852951.jpg', 'https://img2.doubanio.com/view/photo/m/public/p703364663.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2871424096.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2871424092.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2588059678.jpg']",./data2/post_video/李廷香/美术馆旁的动物园 미술관 옆 동물원/image,"['https://img1.doubanio.com/view/photo/sqxs/public/p2176863918.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2176853242.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2176853275.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p2871424040.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2871424002.jpg']",./data2/post_video/李廷香/美术馆旁的动物园 미술관 옆 동물원/image,[],./data2/post_video/李廷香/美术馆旁的动物园 미술관 옆 동물원/video
