电影名,电影网址,导演,编剧,主演,评分,评分人数,评分额外信息,类型,制片国家/地区,语言,上映时间,时长,剧情简介,获奖情况,热门评论,海报链接,海报保存路径,剧照链接,剧照保存路径,视频链接,视频保存路径
邮差,https://movie.douban.com/subject/1394801/,何建军,何建军/尤妮,"['冯远征', '濮存昕', '梁丹妮']",6.8,3683,好于25%剧情片,剧情,中国大陆,汉语普通话,1995-03-21(中国大陆),102分钟,北京，某个冬天。沉默内向的单身青年小豆（冯远征）是一名邮差，日常工作是收发幸福区内居民的信件，他和姐姐（梁丹妮）一起住在一栋简陋的筒子楼里。姐姐男友（濮存昕）的出现令小豆生出莫名的烦恼，本就尴尬的隐私在狭小局促的空间进一步难堪。百无聊赖中，小豆开始把信件偷偷带回家拆开阅读，最初他仅想偷窥别人的生活，但慢慢地有了干预别人的生活的念想，开始写匿名信、冒名写假信，甚至按地址闯入别人家中。但最终他发现，他能够改变的只有他自己。,['评委会特别奖'],"['已下mkv。首先就被铁链的摩擦声所吸引，冯远征演得很有趣，既自然又贴切，看得出青涩，但是有戏。讲述方式也很有趣，用信牵出不同人的故事，有群像感。故事环境很令人怀旧，想起很多小时候的感觉。而摄影角度很独特，画面构图精巧有趣，看得出用了心思，用电影语言在说话。喜欢简单而有趣的片子。', '冯远征。。。他塑造的角色永远那么地“另类”，这也是他实力的体现。正如他本人所说的“我演的人物基本都是变态的”，这个邮差不能说是变态，但起码是一种心态特性的展露，很难拿捏。影片充斥着各种灰色，这一切由邮差来串联，压抑、扭曲、寂寞、空虚，一切都是联系，一切都有联系，活生生的现实反映。', '6.18 用自己的方式存在于时间里，抗拒被挤压的空间，用小刀划开别人的故事，填满自己的孤独。', '牛逼，尤其是配乐，就是姐夫和小叔子的关系没懂以及宣传的姐弟床戏，靠，哪里有啊，不过没有就好，不然我三观又要下限了', '出乎意料的喜欢。喜欢镜头下逼仄的城市，和格子楼里窄窄的楼梯间，人与人之间的疏离感和窥私欲。从旁观到介入，便是高潮后的冷却。几乎没有缘由的对小豆与姐姐在饭桌上聊天的长镜头充满好感。', '太NM阴暗了，心里堵得慌，冯远征从那时起就定下这万劫不复的调子了。', '电影《邮差》（1995）：偷窥是有趣的，也涉及作为电影核心的好奇、窥淫与恋物，观众能够认同于邮差，就因为自己在影院里也像邮差一样合谋着拆开被禁忌的信、情爱和幽暗。在符号学意义上，邮差就像青楼女子，游移于公与私、表与里、内与外等不同的部门，偷窥、偷看、偷情，三者之间自然而然建立等号，都是在见不得人的情况下干的，电影中也有各式各样的门帘、窗户、廊道，标识了不同的公共空间与隐私空间，通过一个行走的邮差，也勾勒了特定时代人们生活的全景，用其他方式、处于其他职业位置的人则不可能看到的。因为偷看而知道卖淫女和男同性爱的存在（房间的一幕，用声音作为电影提喻描绘云端的生活，可为语言的orgasm），并且生出了摹仿的欲望，并想和妓女一样献出自己，拯救苍生，但这干预被证明是一种讽刺剧，从开头看到，独白是以罪犯的', '有一种后脊背发凉的感觉，冯远征这个小豆，充满了阴暗和负能量，对性刺激的渴望，对他人信件窥视的欲望，都让这部电影在95年成为禁片，没想到95年居然有如此题材的片子，对小姐的刻画很细致，穿着拖鞋拿着安全套在家接客。还有邮局的女员工，与冯远征在工作间做爱，这是压抑许久，女性欲求不满的表现，从所长到冯远征，该女员工终于释放了自己的性欲。冯远征从一开始住户忘了锁信箱而偷窥到的第一封信，到后来越发胆大妄为，甚至写回信威胁他人，亦或有一丝怜悯之心，假冒自杀的儿子的名义给其父亲回信，让人觉得他内心深处还是善良的，只是被欲望蒙蔽双眼。每个人都有自己的欲望，性压抑的欲望，到偷窥别人隐私的欲望，再到裹挟要挟做贼心虚人的快感，本片写出了人的阴暗面。也给后来那个家暴的安家和，奠定了基础，变态戏精的出现—冯远征。', '挺好的分怎么这么低。谁都想往别人的私生活里偷窥一眼。', '沉默寡言者的罪恶表现在脸上。与生活不语，与欲望偷欢，与偷窥媾和。罪恶统统给推给孤独这催化剂，有人说他飘了起来，空虚极了，有人说他成了上帝，可以指挥别人人生。年轻人，我想说：新的邮筒就是你的坟墓！', '阴冷，潮湿，逼仄，扭曲。日复一日相同的邮戳声，大院邮筒雪白信封，灯光永远昏黄。公私空间的交汇与重叠。', 'a postman who wants to play God', '当年号称六代抗鼎之作', '他就是自己口中所说的有些话面对面说不上但信里就可以的那种人。', '四星半~这个故事好腹黑！他人的生活+爱美丽(邮差版)。现在谁还写信啊！一路上邮箱里的都是广告邮件！摔！盖邮戳的姑娘节奏踏得太准了！p.s.找邮递员confess不错', '就还可以啊，可惜了画质奇差无比！甚至人脸都看不清楚，仨女的我都分不清谁是谁，一看演员表里咋还有个算命的？啥时候出现的都不知道。。。实在太影响观影体验了，三星半吧，信的内容挺有意思的，片子调性也蛮OK，虽然阴郁但不无聊，可是又没优秀到让我想沉下心来二刷的那种喜欢，求求高清修复或者翻拍一下吧，搁到现在也能包装成一部还不错的商业片了。', '这个片就像一棵“毒草”，一层层地揭露，一层层地触碰到俺的心底。虽然很喜欢，但就像尹吾的音乐，越听越让俺快乐不起来，所以宁愿选择远离', '感觉这才叫电影，国内电影在市场化之前很多带有对于当下生活的思考和观察，片子年代感很重，却又那么应景，时代变化影响的只是外在的东西，任何人共有的本质并没有随着时间有更多的变化。电影的视角很简单，对于社会的描述都是跟轻描淡写就好像一个人不可能拥有太多的东西但是社会和生活可以', '这是一部讲述边缘的电影。一切发生的那么不经意，仿佛都不曾有过。这个世界正在堕落，每个仪表堂堂的人背后都怀揣着那些不可告人的信件，难道，只有这个在现实中被边缘化的小邮差，才是那唯一尚存一丝爱心和正义感的人吗？', '冯的演技不错，片子没什么感觉。', '被禁原因：这部电影是导演何建军得到鹿特丹电影节的一个基金的资助拍摄，并在欧洲完成后期制作的。这就决定了本片不可能在国内获得放映的机会。从国外电影节或电影基金获取资金支持是不少青年电影导演的基本运作方式，也是他们完成的电影无法得以审查通过并与观众见面的根本原因。——感觉也就一般般。', '电影内容很晦涩，格调不高，就那么点事情浪费了大段的电影篇幅。被禁的原因在我看来大概是窥人隐私满足自我的欲望的灰色主题吧。主人公的心路不是很明显，干预别人生活不能带给自己乐趣。做一名平凡的邮差，好奇心用错了地方。不仅仅是道德层面的东西了。电影拖泥带水，没有嚼头，无甚干货，没意思。', '摄影机运动和机位选取很有趣，多处段落开篇中，摄影机都以人在陌生环境中的眼光乱看行为模拟给出看的直接动作，并在机位架设上故意以远距离的小全景为目的，建筑空间内的门成为一扇窗口，分隔出内外并明确看的非主观性，以显示一种偷窥感，而冯远征饰演的男主多次出现关门的动作，情境内当然是阻挡姐姐对他行为的得知，也是对观影者看行为的一次阻拦，着重点出观影行为本身的一种窥视性。作为大陆早期写窥私题材的作品，选取自看过两万多封信的真实案件，但在多封信的独白中，未交叉出一个九十年代的社会群像（多是情感倾诉对应片中“现实中说不出来，在信里却可以写出”的台词），反倒因其音色和内容的高度相似，使其剧情更为混杂，在加上主角奇情化的经历设置，让电影仅有行为上的出格展览，难有精确的心理描绘。', '闷。能把窥私这么刺激的事情拍得这么闷，导演真是够本事。', '很闷，怪不得会被禁，私拆信件，私闯民宅，嫖妓，格调灰暗，想要帮助老人家瞒住儿子自杀的消息还没瞒住，喜欢那个女人又好像不喜欢，全剧没有任何高潮，挺烂的。', '片子色彩很灰暗质量很差，几度想看清信封上的字未果', '整个片子的节奏如果能再紧凑一些，特别是一些衔接的地方。主演的第一个镜头，我的回忆就落在了《不要和陌生人说话》里。片中的表演明显青涩许多。故事挺好的。', '主题就是：寂寞寂寞寂寞窥私窥私窥私。', '表演很好，剧本也下了功夫了，不过相应的影像语言没跟上。豆子拆信和我们看电影本质都是一样的，都是通过窥视他人的人生来补完自己单薄的精神。几个女演员找得很有意思，模样都像豆子的姐姐，于是虽然演员的表演出色但人物并不出彩，因为他们的精神符号特征太强。听说完整版还有姐弟乱伦的床戏，其实去掉更好，该有的意思都已经表达到了。90年代讲述邮递员的电影还有一部《那人那山那狗》，但价值不如这一部。', '這樣的片子作為禁片有點不理解。或許一個時代有一個時代的理由吧。色調灰黃且晦澀，全片到底有多少人物數不清，因為全都沒有明亮的面孔。性工作者、吸毒者、第三者、輕生者……這是一個叫幸福小區的中國小區。馮遠征仿佛從來就是一個不能見陽光的演員，以致於覺得他生活中也是這樣，這就是演員的成功罷', '关于公-私，关于个人对全体的职责和义务。第6代后画面风格完全成熟时期。摄影成绩瞩目。“道具信件可以看作有象征意义。一个封闭的心灵，打开是否不打开？是否需要打开？是否能够打开？封闭的代价是否比打开更大？拒绝沟通的必要性、否认交流的可能性，是否就是反社会？或社会恰恰像个强迫别人与她交流的亢奋的更年期妇女。/by zxm”', '剪辑有些乱，被删的情节显然有断层。情节、韵味表达很含蓄，但也挺考验逻辑思维。舒缓却惆怅，布满欲望与寂寞。', '寂寞的人总寻找着那份触动内心的喜悦，而偷窥是最好的办法。想到《后窗》，窥视着……', '如果不是禁片，其实没那么优秀。3.5', '很久以前看的，剧情忘差不多了。好啦，先写到这儿吧。', '偷拆信件，不请自来地参与别人的生活，跟陌生人牵扯不清，慢慢感觉全世界除我以外都有病，最后发现自己也病得不轻。本来是一个能神展开的设定，但选了一条压抑的路线。', '画面压抑昏暗到极点，很不喜欢，而且我也没看出这片有什么值得禁的地方。', '公共形象与私密空间。公差与隐私。涉嫌诋毁国家政府官员形象被禁。 沉闷乏味的生活容易使压抑的感情和激情扭曲无处释放。 冯远征的角色都比较心理阴暗。', '我唯一记住的就是那个敲图章的动作。', '昏暗阴冷的背景，慢慢推进的故事，有点沉闷。也许普通人的生活就是这么平淡吧，讲不出什么大风大浪大波澜。一个小小的邮差，改变不了任何人的生活，莫非这就是导演此片的用意？不懂。', '解密：中国远征军上：http://v.youku.com/v_playlist/f5292010o1p8.html', '冯远征在这部片里把阴暗发挥到了极致，之后他再也没有了......', '我觉得我跟冯远征长的好像啊。', '結尾拉鐵鏈的聲音著實讓我難受...', '4.5 我是在看了張獻民的書之後，才去找郵差來看的。意外的好，讓我驚訝，甚至沒反應過來，那個人就是馮遠征。何建軍能這么冷靜又溫和直接的給這個故事造出震動，與同為九五年的同期電影來說，非常出彩。""社會像個強迫別人與她交流的亢奮的更年期婦女""', '以偷窥者的视角去剖开现代社会的内里，卖淫，自杀，吸毒，同性恋等颇具话题性的内容都有涉及，但放在一起又会显得过于刻意，且冯远征这个角色无法使人代入。', '同是邮差.艾..禁片并非高水准.第一次发觉', '1995前后年的电影，画外音都特别的重~与戏剧出身的孟京辉喜用横向摇移不同，何建军爱用升降~往往给人造成很大的心理压力，这和他拍摄的题材有关吧~', '看不懂的地方还是居多 只能说明这是一个市井小人物的存在状态和内心的想法', '收信写信，曾是很长时间里一件充溢着幸福感的事，邮票、邮筒、邮差，对于当时的人们来说都包含着单纯而美好的情感。不过通过信件串联故事的《邮差》，关注的是底层的边缘人，呈现出深深的无力感，作为窥探者和介入者身份存在的邮差小豆，最终也必须接受姐姐嫁人、独自生活的现实。全是很孤独的景象！']",['https://img1.doubanio.com/view/photo/m/public/p1163718627.jpg'],./data/post_video/何建军/邮差/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p1967171816.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p1967172056.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p1967172121.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p1967172112.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p1967172091.jpg']",./data/post_video/何建军/邮差/image,[],./data/post_video/何建军/邮差/video
蔓延,https://movie.douban.com/subject/1427354/,何建军,崔子恩/何建军,"['于博', '胡晓光', '王亚梅', '娜仁其木梅']",6.5,1095,"好于33%喜剧片,好于31%犯罪片",剧情/喜剧/犯罪,中国大陆,汉语普通话,2004-10-21,INF,因和女友越轨而被勒令退学的大学生申明（于博 饰），从此成了游走社会边缘的盗版盘小商贩。他穿梭酒吧、天桥、高校之间，为各色人等提供违禁的精神食粮。他会耐心的将影片放一遍以检验盘的质量，也会及时地为老主顾们提供上门服务。上到大专院校的教授，下到不为人齿的妓女，都成了他的主顾。艺术院校女老师梅小静（王亚梅 饰）的丈夫是同性恋，她将肉体和精神的压抑全部投射到生活中来，而一张张虐恋的光盘正是她所需要和模仿的；一对热爱暴力电影的夫妇（胡晓光 & 娜仁其木梅 饰）丢掉工作，为了帮儿子筹集学费，他们模仿《低俗小说》策划了一起抢劫；某摇滚乐队鼓手罹患艾滋病，在申明的建议下，他看了那部《大河之恋》；一个妓女热爱电影，她愿意用身体交换喜欢的片子……,INF,"['稀烂吧。。。。拍摄的太烂。', '被豆瓣评分之低吓了一跳，原以为这是一部影迷们都能感同身受的电影。虽然电影呈现出来的现实是荒诞的现实，每个人物的设置都带有极端的超现实意味，但核心却是现实的。一面是电影构筑的城墙，我们不断往里头填充幻象，另一面却是躲不掉的网一般的生活。结尾的奔跑长镜头太有力量了。', '一切跟电影有关的东西', '真写实。', '顺着生活的轨迹，向前奔跑。', '就是那个牧羊人O(∩_∩)O', '我喜欢这个调调，床戏不是很放得开。。。', '真是特边缘，特颓废，超有意思的一部片子，草根中昂扬向上的精英精神，愤青必看', '比较感兴趣的边缘人 也算LOSER吧', '做作', '我们都是丧气的骨肉皮', '主角是为广大人民提供“精神食粮”的人：卖盗版影碟的。他的客户多种多样：妓女和他在花样年华经典配乐中做爱；性压抑女教师研究阿莫多瓦的虐恋片，也看AV；热爱《低俗小说》的下岗夫妇模仿电影实施抢劫；身患绝症的鼓手看了《大河之恋》…他们都爱电影。主题不错有亮点，制作太粗糙，摄影太烂甚至穿帮', '男主角像小学英语老师……', '粗放。', '好久了.', '貌似后面一段是在护国寺那的辅仁大学老教学楼里', '男主怎么看怎么像大程啊', '女人啊', '时隔7年再看一遍。第17分钟有录音话筒入境', '一個看盜版碟的偽影迷的自戀行為，做作得有些令人髮指。', '这里面通过盗版碟的蔓延悉数罗列了若干电影，还大多都是牛逼的文艺片，什么阿莫多瓦塔可夫斯基……里面模仿[低俗小说]那个场景很有笑点，有点宁浩的感觉，我最不满的就是你为什么在做爱的时候电视机里面放[花样年华]！！！还有……最后一个长镜头，一定是致敬[四百击]……一定是……', '拍摄的粗糙恰巧给人一种真实的感觉，但是仅仅通过几部电影就可以改变这么多人的命运，未免有些过于的乌托邦了吧？！', '小时候的二货事件之三', '多主题叙事，处理的有点混乱', '如果没有盗版碟，我们的生活该多么的无聊啊', '什么玩意，何建军也好意思叫90年代独立电影的标志，《邮差》就烂得可以，但还算有零星可取之处，这个2004年的片简直就是渣，该给负分，任何一个现在活跃着的独立电影导演都比他强。是因为崔子恩的参与？可剧本本身还可以啊。还是实在没钱？还有娜木仁其梅这演员挺不错的，非拍这些雷片，活该红不起来。', '『补標』', '官方途径对文化的禁锢，广泛的低收入人群，不完善的管理制度，滋养了D版事业和地下发行。电影学院需要通过D版商贩寻找片源，莫大的讽刺。电影拍的算不上好，故事讲述的也不够高明。涉及了不少个点，感觉上却都只是搔痒。演员谈不上什么演技，中文字幕也有多处错误。我还是想推荐一下这个片子，但只想推荐给中国人。无奈的是这样的电影往往只会在外国受到关注和好评。', '有需求才有市场么', '屎片', '剧本非常棒', 'bt下了将近三个月，电影却不怎么的', '几组人物关系没串好，生活模仿电影那段有意思，可又突兀。', '这算什么？在盗版碟中救赎？', '下岗夫妻热爱《低俗小说》', '感官世界是毛片还是艺术品 警察和小贩展开了激烈的争论。靠卖碟贩子获得教学资源的老师 用花样年华的碟子把妹的贩子 模仿低俗小说的夫妻。这片子挺有意思，气质还蛮豆瓣的。里面其实还讨论媒介生态的问题，卖碟的人实际上就是那个年代电影和音乐传播的基础设施 他们构成了活人网络 供养了几代人的文艺教育 在某种意义上是真正的文艺工作者了，甚至还成了性启蒙者提供了性爱幻想和实践的形式。几个不同的故事通过手持dv的影像风格或明或暗地交错在一起（看完想起汉口西路新浪潮那什么都懂的老板 以及多年后巴纳伊的出租车里相似的情节 和古巴的移动硬盘网络）最后碟贩400击式的长镜头狂奔不也是对自由的向往吗 唯一没料到的也是满含深意的：碟贩不是被jc搞倒反而是被更大的网络盗版搞倒的', '屎,面包,泥土,鲍鱼,鼻涕和一起,大个你吃吧.冒热汽呢,尝个鲜.你他妈浪费那么多带子拍那么多事到底要说啥呀?我没看明白,就是把容易被禁的题材混一块了.跟广电局过不去我不反对.您别拿观众耍着玩啊.去死吧', '＂塔可夫斯基就是俄罗斯一开车的＂．．．崩溃．．．哈哈哈．', 'nb', '众生群像，粗糙但也有些黑色幽默的意思。最喜欢女教师这条线的故事。', '这片其实俺挺喜欢地~', '想法不足，撑不起成熟的作品，隐约感到几点闪光。', '其实我想给半星。', '写实，有点反', '电影源于生活，高于生活。生活模仿电影，…卒', '演技让人发指！！', '拍得真你妈糙', '导演一定也是影迷.', '崔子恩正弦理论', '记录了9区最辉煌的年代，有些人物似乎爱影成魔了，贴脸镜头有些怪。']","['https://img1.doubanio.com/view/photo/m/public/p2536163498.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2260399824.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2260395282.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2260399951.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2260399709.jpg']",./data/post_video/何建军/蔓延/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p2260395465.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p1635428358.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p1635428207.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2381930288.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p1635428374.jpg']",./data/post_video/何建军/蔓延/image,[],./data/post_video/何建军/蔓延/video
蝴蝶的微笑,https://movie.douban.com/subject/1300668/,何建军,何建军,"['葛优', '蒋薇薇', '孙淳']",5.5,158,INF,剧情/惊悚,中国大陆,汉语普通话,2001-09-25,88分钟,一年前，酷爱摄影的康平在一次时装表演会上被正在台上表演的梦醒深深吸引，为她拍了许多照片，照片洗出后，他又特地给梦醒送去结果在传达室碰了一鼻子灰。,INF,[],"['https://img1.doubanio.com/view/photo/m/public/p2589829067.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2870769812.jpg']",./data/post_video/何建军/蝴蝶的微笑/image,"['https://img1.doubanio.com/view/photo/sqxs/public/p2581470777.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2581470775.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2581470774.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2581470773.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2581470772.jpg']",./data/post_video/何建军/蝴蝶的微笑/image,[],./data/post_video/何建军/蝴蝶的微笑/video
悬恋 懸戀,https://movie.douban.com/subject/1401237/,何建军,刘晓京/尤妮,"['史可', '刘江']",7.5,95,INF,剧情,中国大陆,汉语普通话,1994-02-18(中国大陆),88分钟,京生在一家精神病医院里做护理工作。起初，他感觉精神病院里的世界是那样的混乱压抑得让人透不过气来，但是渐渐地他开始熟悉并习惯了病人的异常习性，他经常参与到他们的娱乐活动中去，跟他们玩在一块儿，少了很多隔膜。一天，年轻的姑娘纪云被母亲送到医院来。因为床位紧张，纪云的床位不得已被安设在地下室，而京生则负责照看她。京生开始被纪云和她不断重复讲述的梦所吸引：“红珠子，红珠子，满地的红珠子……”——他试图从中找到纪云的“病根”，他想知道那个被不断强调与填充的丰富诡异的红珠子的梦的背后到底隐藏着什么秘密。在这过程中，纪云激烈地反抗他，甚至弄伤了他，但金生却义无返顾不可思议的越陷越深，他们俩的关系也急剧升温……片尾，从冷酷的记忆回到现实的温暖，京生在小饭馆里等着他的恋人——纪云的到来，嘈杂喧闹声中纪云推门进来，坐下，黑场。,INF,[],"['https://img1.doubanio.com/view/photo/m/public/p2519275209.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2534490944.jpg']",./data/post_video/何建军/悬恋 懸戀/image,['https://img1.doubanio.com/view/photo/sqxs/public/p2517665619.jpg'],./data/post_video/何建军/悬恋 懸戀/image,[],./data/post_video/何建军/悬恋 懸戀/video
