电影名,电影网址,导演,编剧,主演,评分,评分人数,评分额外信息,类型,制片国家/地区,语言,上映时间,时长,剧情简介,获奖情况,热门评论,海报链接,海报保存路径,剧照链接,剧照保存路径,视频链接,视频保存路径
刀见笑,https://movie.douban.com/subject/4051608/,乌尔善,张嘉佳/唐缺/马洛杉/乌尔善,"['安藤政信', '张雨绮', '游本昌', '刘晓晔', '徐冲']",5.9,28287,"好于19%喜剧片,好于26%动作片",喜剧/动作/武侠/古装,中国大陆/中国香港/美国,汉语普通话,2011-03-17(中国大陆),93分钟,一把玄铁刀，辗转三世，成就三段故事。在豪侠手中，它能成就英雄霸业；在大厨手中，它能烹饪世间美味；在有情人手中，它能成就爱情。当年，为了得到旷世玄铁，炼就绝世宝刀，孤独成杀兄弟，盗父墓，寻找 隐居多年的铁匠唐胖子，然而最终却被唐胖子欺骗，不得善终。唐胖子把玄铁炼成菜刀，传于少年八大铲，多年之后，八大铲成为俏江南的第一大厨，名扬江湖。哑巴（安腾政信 饰）为了得到宝刀，手刃仇人替父报仇，于是借计接近八大铲，在尽得真传之后对其痛下杀手。然而牺牲无辜之后，哑巴并没有亲手杀死仇人，但仇人却意外死在哑巴眼前，顷刻顿悟的哑巴从此隐居谷底。屠夫少三两恋上万花楼花魁寐娘（张雨绮 饰），然而纵使他使尽混身解数，不仅见不到寐娘，而且受尽一刀仙的羞辱。心灰意冷的他在滂沱雨夜跳入深谷，大难不死并且知遇哑巴盗得玄铁宝刀。当他再一次回到万花楼之后，杀死一刀仙并且与寐娘成亲，然而在...,"['金马奖 最佳改编剧本(提名)', '金马奖 最佳新导演', '最佳新导演(提名)']",[],"['https://img9.doubanio.com/view/photo/m/public/p893510826.jpg', 'https://img9.doubanio.com/view/photo/m/public/p896131596.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2271539558.jpg', 'https://img9.doubanio.com/view/photo/m/public/p875843255.jpg', 'https://img9.doubanio.com/view/photo/m/public/p936032504.jpg']",./data/post_video/乌尔善/刀见笑/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p492182166.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p694383515.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p694386777.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p492180433.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p1376561389.jpg']",./data/post_video/乌尔善/刀见笑/image,"['https://vt1.doubanio.com/202204292204/58452be95ca5f96d92595ee2c5eb079c/view/movie/M/301000893-1.mp4', 'https://vt1.doubanio.com/202204292204/61d7a31fcf2de68e6960c8207a3a12d4/view/movie/M/301000894-1.mp4']",./data/post_video/乌尔善/刀见笑/video
寻龙诀,https://movie.douban.com/subject/3077412/,乌尔善,张家鲁/天下霸唱,"['陈坤', '黄渤', '舒淇', '杨颖', '夏雨']",7.4,566190,"好于67%奇幻片,好于65%冒险片",剧情/动作/奇幻/冒险,中国大陆/中国香港,汉语普通话/英语/蒙古语/日语,2015-12-18(中国大陆),125分钟(中国大陆),上世纪80年代末，胡八一（陈坤 饰）、王凯旋（黄渤 饰）与Shirley杨（舒淇 饰）在美国打算金盆洗手，本来叱咤风云的摸金校尉沦为街头小贩被移民局追得满街跑。就在此时，意外发现20年前死在草原上的初恋对象丁思甜（杨颖 饰）可能还活着，胡八一、王凯旋、Shirley杨决定再入草原千年古墓……,"['金马奖 最佳动作设计(提名)', '最佳故事片(提名)', '优秀故事片奖(提名)']",[],"['https://img2.doubanio.com/view/photo/m/public/p2284620292.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2293020155.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2295525862.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2868754441.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2407328418.jpg']",./data/post_video/乌尔善/寻龙诀/image,"['https://img1.doubanio.com/view/photo/sqxs/public/p2299168778.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2266439676.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2293015475.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2297965734.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2293015512.jpg']",./data/post_video/乌尔善/寻龙诀/image,"['https://vt1.doubanio.com/202204292208/ed3019a98b510b272b22121a22cf26d6/view/movie/M/301870184.mp4', 'https://vt1.doubanio.com/202204292208/433754dca300281e6ffed514eeb39906/view/movie/M/301850137.mp4', 'https://vt1.doubanio.com/202204292209/7f7701287928ecbcec7eab8681cf58eb/view/movie/M/301830550.mp4', 'https://vt1.doubanio.com/202204292209/76ae34d196bd4d80ab012d9908ff64a1/view/movie/M/301710980.mp4', 'https://vt1.doubanio.com/202204292209/3bc72938799c54e734698f237916a7ce/view/movie/M/301870482.mp4']",./data/post_video/乌尔善/寻龙诀/video
画皮2 畫皮Ⅱ,https://movie.douban.com/subject/4218768/,乌尔善,冉平/冉甲男,"['周迅', '赵薇WeiZhao', '陈坤', '冯绍峰', '杨幂']",6.1,253655,"好于22%爱情片,好于30%奇幻片",剧情/爱情/惊悚/奇幻,中国大陆/中国香港,汉语普通话,2012-06-28(中国大陆),135分钟,妖狐小唯（周迅 饰）因救人违反妖界规则，被封冻在寒冰地狱中度过了五百年，痛苦不堪。在命运面前，逃离冰窟的小唯只有两个选择：要么被寒冰地狱的冰舌抓回去，要么获得一颗“主动奉献”的人心真正成人。小唯四处寻找目标，直到偶遇逃婚并因一次意外被毁容的靖公主（赵薇 饰）。小唯很快发现，公主有一颗与众不同的心，她把变成人的理想全部寄托在公主身上。公主现身白城让曾经青梅竹马又极负罪恶感的霍心（陈坤 饰）惊讶不已。面对公主，他无法接受公主逃婚并准备和自己私奔的突如其来的现实。小唯发现靖公主与霍心微妙的心理状态，她的计划顺应诞生。她向靖公主灌输男人对女人的爱只不过是色欲之爱，以此暗示公主相貌的丑陋是霍心不敢接受公主爱情的唯一原因，并不惜用妖法迷惑霍心，当公主披着小唯的皮诱惑霍心，并初次体验到了肉体的欢娱时，她开始相信小唯所说的美丽的力量。此时，天狼国步步逼近意欲抢婚...,"['金马奖 最佳视觉效果(提名)', '最佳两岸华语电影(提名)', '最佳编剧奖(提名)']","['为毛第一部里扒了皮一堆黑蛆在里面扭，第二部扒开就变LED发光的了？', '《画心》的旋律再一次响起，周迅也再一次证明，她就是为电影而存在的。一个眼神就能释放千重魅惑，一句台词都有让人飙泪的力量！', '现在大片都搞基，搞基大片都有迅哥。迅哥逆天啦！可帅可美！！！可攻可受！！！', '比一更烂～一6分，2…………5分。水军守不住豆瓣。只能去干时光了。为什么说画皮2比画皮1差劲？因为画皮1还是老老实实在讲一个爱情故事。画皮2野心太大：在向无极靠拢，最终该片和无极一样变得既不史诗也不爱情', '用电影告诉你，只有男人瞎了，才不会在乎你的外表。', '16，上海，开幕片，其实讲的就是周迅和赵薇换来换去合体的故事。迅哥赞！', '昨天看了首映，周迅老了，赵薇很美', '＜画皮II＞历经三年磨练,终于露出真颜.值得期待的东方魔幻大片,即便华丽的表现形式有些过头,但滴水不漏优秀的故事剧本实在是要竖大拇指.周迅冯绍峰费翔表现亮眼,赵薇陈坤表现中上,杨幂比想象中和谐.两个多小时片长让大制作的水准无庸置疑,绝对值得期待的作品.三星半,对过于华丽表示无感~', '古装女版《夺面双雄》。凭良心说，拍的还不错，特别是跟近期的那些华语片相比，绝对算是合格的作品。剧情安排还算丰满，表演也算到位，至少没弄什么笑话。至于特效就更不必苛求了。不过故事设定上有个大问题，咱互换了皮就别再换心了，身和心若同时都互换了，那不等于什么都没换嘛。', '终于知道为什么那么多妹子来看了，原来是部文艺爱情片。整部片子各种抒情，每每抒情音乐一起，镜头就慢下来，然后各种缠绵和纠结，焦躁死我了。情节推进也很慢，很清汤寡淡的一部片子，不过有些场景设计的还蛮不错，杨幂挺好，演了个鸟。', '3D的只是片头和片尾，周迅可胜任聊斋任一妖精，厂花继续吸引痴女，杨幂需要做的只是弯腰，视觉系导演乌尔善初现驾驭大片的潜质，延续了个人风格化视效并点到了皮相与人心的主题，哪怕有节奏拖沓及缺少重心等硬伤，也丝毫不影响這部消费粉丝的商业片的大卖。', '“知我者谓我心忧，不知我者谓我何求”', '最最吸引的是画心~', '顺其自然 不要着急', '迅哥，请别那么美，好吗！', '说实在的，妖魔化了的东西，未必好看。', '画面很漂亮', '演员都是大咔级的，演技都不错，主要还是冲着演员去看的，剧情不是太在意，能看就行', '#大光明#这次的主题是人妖。“转生术”这个名字才贴主题，其实叫“换皮”“换心”会更合适。乌尔善“丑的艺术”这次变“美的艺术”，特效还是进步的，确实做出了魔幻大片的气势，但是特技泛滥且没用到正处，借鉴西片的几处也成为笑柄。人是人他妈生的，妖是妖它妈生的，最后合体掉下来成了人妖', '比一强。故事很有唐缺的风格。美工方面“不愧是乌尔善”。周迅太棒。乌尔善不如徐克那样能发掘出陈坤的美。赵薇该戴牙套了。只要天狼国的人一出现观众就发笑。大决战末尾，随着随着一颗惊天动地的炸弹爆炸，两个女人合体了，顺便换了一套衣服。大结局：不是所有好奶都叫特仑苏。', '第二部完全就是狗尾续貂了！', '如果没人拦着，乌尔善肯定能成中国的三池崇史。', '三星半，无脑1星党太凶残，拉平下分数。编剧依旧是中国电影的软肋……虽然比1还是好一点的，讨论的东西也深了一些。服装就不吐槽了，嫁衣整个一天照大御神……顺说不用剧透，豆瓣剧情简介已经说明一切了，狗血BG+百合+真·3p……特效蛮好，片头动画非常美。综合起来还算有趣。顺说，很不科学。', '电影院看的 3D效果很不明显 让人一直吐槽不断。', '总的来说还是还是不错的，今年目前上映的国产片中我排第一。乌尔善执导，与他的上部影片《刀剑笑》一样，有着比较强的画面感，水中特效那段很赞！周迅、赵薇演的不错，费翔愣是没看出来。狼族有非常明显的山寨游戏魔兽争霸兽族的影子。3d效果一般，华谊兄弟的片头倒是3d不错。值得一看', '披着魔幻大片的狗血言情剧，可怜了我的坤姐变成华丽丽打酱油自戳双目的贱男人.....', '各种百合场面 不明白雀儿的角色 真的很狗血', '途中无数次想快进，没弄明白这么部纯商业化的电影怎么会有这么高的票房。', '蛮感人的呀。。。。', '画面美，剧情血，不敌第一部。', '结局有点诡异', '厂花果然很帅哈', '特效赞~~', '没有我想象的那么不好看 去电影院看看也是可以的 不错的', '姐姐说爱的感觉就是疼-杨幂如是说', '#画皮2# 很难讲画皮2是来讲故事的，没讲好故事就很难讲是一部好片。之前宣传过多的特效，只能讲比白蛇传说要好。费翔伏地魔的造型、片尾陈坤和赵薇驰骋草原的镜头都很雷人。豆瓣上有人说，从头哭到尾，不晓得怎个哭法。结束时候是凌晨时分，优酷晃着镜头问特效如何，大家飞也似地逃……', '你确定这是画皮2不是无极2？', '杜鹃花很香，画皮2很烂（其实是有比1好那么一些，但是1已经是没有底线和下限的大烂片了）。不知所谓的特效，莫名其妙的故事。我好歹有喜欢“三分之一”《刀见笑》，这次，乌尔善把仅有的三分之一才华都毁灭了。与之相比，糟蹋《聊斋》和鬼怪文化好像已经不算什么新鲜事了。', '若满分为十分。视觉九分，天野大神不是盖的，服装造型戳我萌点。演技八分，赵周二人角色互换考演技，陈的内心戏足。音乐八分，东瀛味道稍重，但是不伤大雅。剧情六分，节奏稍有拖遢，情节微微狗血。大家如有闲暇，不妨去看看。', '拉拉片~', '捉妖师的角色基本没作用，靖公主够帅！', '海报等视觉形象和前期推广减分了，电影本身超乎想象，完全不是海报上给人那种山寨好莱坞三流影片的印象，乌尔善导演告诉你怎么把特效用在该用的地方，用对了真的可以爽到极点', '烂片一部', '半年那天跟她去看的', '剧情还是第一部的好看', '渣片后浪推前浪，一片更比一片烂', '蛋疼的编剧。搞笑的费翔，但是感觉费翔演的挺大气的，有好莱坞的风格，不适合国内戏。', '换皮', '中间略显混乱', '有个趣味相投的人也没太糟']","['https://img1.doubanio.com/view/photo/m/public/p1584319849.jpg', 'https://img2.doubanio.com/view/photo/m/public/p1876461793.jpg', 'https://img1.doubanio.com/view/photo/m/public/p1702218209.jpg', 'https://img1.doubanio.com/view/photo/m/public/p1702237987.jpg', 'https://img1.doubanio.com/view/photo/m/public/p1580617877.jpg']",./data/post_video/乌尔善/画皮2 畫皮Ⅱ/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p1549223455.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p1547202985.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p1592934678.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p1607173609.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p1605768766.jpg']",./data/post_video/乌尔善/画皮2 畫皮Ⅱ/image,"['https://vt1.doubanio.com/202204292211/44ca16d2cd46d81d2e3a9c13de7fa8e9/view/movie/M/301140659.mp4', 'https://vt1.doubanio.com/202204292212/83eac88e3b7f74958ee9f8c76cecbaa3/view/movie/M/301100724.mp4', 'https://vt1.doubanio.com/202204292212/9f6db4208723542508966e8b3c314842/view/movie/M/301020736-1.mp4']",./data/post_video/乌尔善/画皮2 畫皮Ⅱ/video
