电影名,电影网址,导演,编剧,主演,评分,评分人数,评分额外信息,类型,制片国家/地区,语言,上映时间,时长,剧情简介,获奖情况,热门评论,海报链接,海报保存路径,剧照链接,剧照保存路径,视频链接,视频保存路径
东归英雄传,https://movie.douban.com/subject/1834663/,塞夫,塞夫/于承惠/赵玉衡/辛加坡,"['哈斯高娃', '于承惠', '叶晖', '巴雅尔吐', '张伸']",7.3,2366,"好于70%动作片,好于39%剧情片",剧情/动作/古装,中国大陆,汉语普通话,1993-01-01,79分钟,公元1771年1月，在俄罗斯伏尔加河流域生活了近两百年的蒙古土尔扈特部不堪忍受沙俄叶卡捷琳娜王朝的种族灭绝政策，在首领渥巴锡汗的率领下举部二十余万人东归故土，缔造了人类历史上最后一次的长途迁徙。千户长阿拉坦桑（巴桑 饰）带着女儿莎吉尔玛（哈斯高娃 饰）、武士阿布（巴雅尔图 饰）千里迢迢护送东归图前往渥巴锡汗处。沿途上尽见本族人遭女王军队荼毒的惨状，更有戈里高力男爵率骑兵抢夺东归图。虽侥幸从山谷逃脱敌人的围困，然而一路上各种艰难险阻交替出现，无数的敌人和诱惑相继袭来，阻挡着一个濒临灭种的民族东归故土的脚步。书写在历史上的千古传奇，充满血泪的征程……,"['最佳故事片(提名)', '金鹿奖 优秀华语故事片', '最佳观赏效果奖']","['老毛子的阴谋！～', '難以言喻的感覺...很有上世紀90年代的那種感覺', '随时散发雄性荷尔蒙。一部东归一部悲情布鲁克让塞夫麦丽斯留名影史。', '小时候觉得不好，昨儿中央六放，觉得还可以。', '非常漂亮的武打场面 独特的草原武术', '太新鲜的观感体验，悲壮史诗，现在的电影人每年也都拍许多“大片”，但从不曾有如此大气。观看地址：http://www.m1905.com/mdb/film/334993/', '中学看的,还不错', '好看 牛逼', '女的抽打小三脱衣服，男的一个劲给加衣服，神剧', '那时觉得还蛮血腥，人皮地图。', '小时候每次播都看 昨天又播了', '这是一部悲壮的电影，如果我拥有那样的信心和勇气', '小时候看的啊 留阴影拉', '这画面在国产电影里面少见的粗犷辽远，剧情算得上电视剧版的序幕。只是动作实在是受当时的香港影响，飘又粗糙。', '勤劳、勇敢，有着光荣历史的爱国主义教育的好题材！PS：其实那种苍茫的感觉挺好的，就是那个年代的国产电影有种很特殊很特殊的腔调，叫人难以入戏@', '小时候看的 哭得稀里哗啦', '看「黄金神威」才想起，小学时期竟然会组织我们看这部电影 深深记得最后的剥皮环节。但片子整体拍得很豪迈、悲壮。引人入胜。', '童年记忆。好看', '九十年代罕见的内地动作片。', '论画面，服装设计，对白...皆完美，啧啧啧！！！', '电影频道看的。。想不到这个年代的武打片子，还有起承转合。。。', '格尔霍特部，个给我介绍的，没记错的话是小学六年级时看的，一头撞碎一块大石', '沒有ＣＧ', '蒙古厂的统战娱乐大片，更有幸欣赏到著名武打明星于承惠老先生饰演一只鹰 = =！', '电影频道n次重播', '受不了那年代大陆电影的腔调．', '吐槽无力...还要交作业ＯＲＺ', '这是我儿时很喜欢的片子', '可以是相当硬核了，无边无际的马群真是壮观', '很蒙古风啊，什么都很粗犷，每当我以为他们这小分队要挂的时候，他们就放大招aoe秒了对面一堆人马，甚至最后还有召唤术，召唤来一群马助战，这尼玛谁拦得住？要不是最后不听指挥死于剧情和窝里斗，这应该一路屠光沙皇军队了。于承惠老爷子在我印象中除了黄河大侠，剩下全是反派。', '1994', '当年很爱看。大爱于承惠。', '没病吧？', '小时候的暑假电影之一，光记得打打杀杀了……', '＝＝吐槽不能', '马的戏都太帅！茨冈女人骂萨吉尔玛“你不是女人，你是凶手”骂得太对，这角色情感变化都不符合逻辑的。（还有带入历史细想下，会发现中国历史书简直精分）', '看完之后，满脑子都是全片的红色影调。总觉得这部拍摄于1993年的电影，带着九十年代商业片大潮里，明显而独特的闹腾特质。', '因为对这段历史的不了解，所以看的不是很明白。但也正因为有这样的民族精神，成吉思汗才能成为世界上唯一一个有最大版图的霸主。东归才能成功，感叹于这个民族的力量。', '老早老早看的一部片子了，好一部民族大团结的主旋律片。', '中国西部片 大漠纵马 豪雄烈女、', '很多年前看了很多遍的电影，剧情有些淡忘了，不过相比于今天的电影，真是相当精彩的东西', '有点吓人', '小时候看的算不错的国产片', '四星加', 'http://www.m1905.com/vod/398911.shtml', '蒙古电影制片厂 内蒙古', '最近的思路越来越诡异，看了一大堆乌兰夫和内蒙的资料以后突然想起了这个和悲情布鲁克。。电影是很小的时候看的了，好看但是内容略惨。回想了一下现在惟一能想起来的台词是“流浪的吉普赛人没有祖国”。。', '台词写的挺好的，像话剧~', '动作剪辑干净利索，甚至比港片更癫狂过火。于老爷子其实最后才出现，但海报上却这么大个头。', '斗篷起风沙。。。这个是武侠片么。。。一共才不到80分钟还从头打到底。。。片子就一个亮点。。。王璐']","['https://img9.doubanio.com/view/photo/m/public/p2569282436.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2158504994.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2158505003.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2158504987.jpg']",./data/post_video/塞夫/东归英雄传/image,"['https://img2.doubanio.com/view/photo/sqxs/public/p2342563711.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2342563036.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2342563122.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2342563661.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2342563615.jpg']",./data/post_video/塞夫/东归英雄传/image,[],./data/post_video/塞夫/东归英雄传/video
骑士风云,https://movie.douban.com/subject/4300637/,塞夫,麦丽丝/赵玉衡/塞夫,"['巴音', '古丽扎尔', '达列力汗', '额尔德木图', '巴特尔']",6.5,64,INF,剧情,中国大陆,汉语普通话,1990(中国大陆),82分钟,INF,"['最佳导演(提名)', '最佳男配角(提名)', '最佳摄影']",[],"['https://img1.doubanio.com/view/photo/m/public/p2868386708.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2510282294.jpg', 'https://img3.doubanio.com/view/photo/m/public/p2868386690.jpg']",./data/post_video/塞夫/骑士风云/image,"['https://img2.doubanio.com/view/photo/sqxs/public/p2868386711.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2868386704.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2868386702.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2868386701.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p2868386700.jpg']",./data/post_video/塞夫/骑士风云/image,[],./data/post_video/塞夫/骑士风云/video
东归英雄传,https://movie.douban.com/subject/3111441/,塞夫,塞夫,"['马景涛', '宁静', '斯琴高娃', '斯琴格日勒', '伊拉']",7.8,671,INF,INF,中国大陆,汉语普通话,2006,INF,INF,INF,"['蒙族也是中华大家庭的一员。不能忘了那段历史，更敬佩蒙族坚韧的精神。', '中央八套，看到一脸正经的咆哮帝和满脸欲相的叶卡捷玲娜女王的对戏，还是会有点尴尬。土尔扈特部在渥巴锡带领下举族东迁回归的壮举堪比西方史诗里的""出埃及记”，这部剧也承载着导演塞夫、麦丽丝夫妇93年在同名电影里未尽的梦，是不可多得的这段历史剧的精品。', '读书时，历史课本上简短的一句话，一笔带过了渥巴锡所领导的族人艰难的回归历史，老师强调了这段历史的悲情，回归路上伤亡人数的惨重，从此印象深刻，此片虽然不知道算不算正史，但也算是刻画了那段不为多少人知的回归路上的艰辛', '一段被美化的历史，土尔扈特人确实受沙俄压迫剥削，可首领渥巴锡明明是受人教唆，企图趁清军立足未稳强占伊犁，结果发现戒备森严，加之一行人一路折损过半，才不得不改口称前来归附清朝。', '记得标过的啊？那阵子每次听到《鸿雁》就想哭，我的乡愁啊', '斯琴高娃演技炉火纯青。', '作为电视剧，质量不错。作为历史，去读书吧。', '土尔扈特东归的故事……没想象中好，但是已经很不错了。马景涛演技其实真的不错。', '荡涤心灵', '一句为了自由，让我热泪盈眶。', '豪华阵容的无聊片。', '人类历史上的民族大迁移。 电视剧的制作水平并不能说太高，配音也别扭。但是那段历史是怎样的令人心神激荡啊。', '狄夷专业户——马锦涛，宁静，斯琴高娃', '这部剧里的教主还是可以接受的，每次主题曲鸿雁想起的时候就感动的热泪盈眶', '教主的发型跟教主的身份已经融为一体了', '两位', '虽然看的稀里糊涂的，不过还是热泪盈眶的！', '马景涛老师作品中最喜欢的两部之一', '印象里前面铺垫的内容做得不好，甚至还有错误，但是后面东归路上的情节尤为感人。', '怎么找了个这么老的女人...', '很荡气回肠。', '垃圾玩意 看见马景涛和斯琴高娃我就烦。。', '很喜欢这部剧，主题曲鸿雁也很经典。这是唯一一部马景涛主演的剧我从头追到尾的。看完对咆哮教主不说转粉吧，至少黑转路了。也因为这部剧喜欢宁静', '一开始不明白导演为什么找马景涛来演一个蒙古人，他的五官相对来说有点精致也没有什么蒙古人的特征，现在开始在看，倒不违和，就是台词这部电视剧的台词太刻意了。', '虽然没有完整看过全集，还是觉得这是不充满诚意的历史剧，现在还记得渥巴锡见到作为质子的儿子时，流露出的表情。觉得是马景涛最好的戏了。片尾曲，太美了', '哈哈我的家乡离晋陕蒙边界很近，莫名喜欢主题曲。导演夫妇1993年的同名电影拍得也很棒。大静静和小马哥的又一次合作，也算是填补了孝庄秘史里的遗憾。扣一星是因为中国演员的配音.....实在太尬了', '悲壮', '大清早，就看到教主了。景涛，你早', '又见马景涛', '小时候在八套看的，听到鸿雁就想到这部剧了，土尔扈特东归~马教主这部演的挺含蓄的，静姐演蒙古女人手到擒来，还有好多俄罗斯人，吉普赛人~', '好题材，可以编剧脑子里面都是浆糊，人物都是雕像化的，都是木偶，不是人', '如果说土尔扈特与希伯来人的经历相似，那么鸿雁就是东方的出埃及记', '宁静，美到让人窒息。配音太尴尬，高娃老师，宁静老师，甚至小马哥的台词功底都是很棒的，为什么要用配音', '看过电影版，导演夫妇对这段历史很有情怀，但电视剧拍摄手法的水平远不如讲故事的诚意。编导把注意力都放在了歌颂史诗上，具体人物刻画则略显空洞 就很浪费演员。还是要给四星的，从渥巴锡到编导都很英雄主义，理想主义者永远值得。马景涛脏乎乎的好像一头小藏獒好可爱啊哈哈哈哈', '动作场面比拳拳到肉惨烈多了，就是故事套路了些，一些镜头也挺有创意的。', '很好的电视剧', '看了好多遍', '补标 童年记忆……', '蒙古扈尔特部东归，叶卡捷琳娜威胁乾隆，乾隆霸气回应要战便战，太帅了', '题裁很好，拍得不够好，但也没有更好的。', '童年记忆', '感动T^T', '小时候看的电视剧了。记得拍的很好的。宁静好漂亮好漂亮！', '鸿雁～', '没有说明 我巴西曾企图袭击伊犁，只是自己人畜死亡过半才投降！', '宁静零分', '不记得讲啥了。。。', '补上，参考史书文献', '我的眼泪不值钱，也许感动人的真的不仅仅是小家，更大的是家国', '这种历史还是很悲壮的']","['https://img9.doubanio.com/view/photo/m/public/p2375003644.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2620406076.jpg', 'https://img3.doubanio.com/view/photo/m/public/p2678884300.jpg', 'https://img3.doubanio.com/view/photo/m/public/p2678884230.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2678884226.jpg']",./data/post_video/塞夫/东归英雄传/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p2195177674.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2564840385.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2564840384.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2566722198.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2678884298.jpg']",./data/post_video/塞夫/东归英雄传/image,[],./data/post_video/塞夫/东归英雄传/video
天上草原,https://movie.douban.com/subject/1756447/,塞夫,陈平,['娜仁花'],8.4,531,INF,剧情,中国大陆,汉语普通话,2002-08-30(中国大陆),110分钟,INF,"['最佳故事片(提名)', '最佳故事片(提名)', '金鹿奖 最佳华语故事片']","['为什么我又是只看到了半部 From CCTV6', '原来腾格里塔纳就是天上草原的意思', '蒙古人是真的可以与自然和谐共存的民族', '在腾讯视频看的，画质很差，不清晰。', '蒙古大草原拥有的独特景致，赋予了《天上草原》别致的诗意。草原、芦苇、白羊、雪山、剪影一样的牛羊马儿和狗，组成了最接近天堂的“长生天”，同时也是片中人物“腾格里”所代表的寓意。《天上草原》的故事很简单，也有一丝残忍，这丝残忍代表着以“我”为视角所看到并且亲身经历的告别与成长。只是，过于注重绘画版失意的镜头语言与电影的内核节奏很多时候是脱节的，这就更加凸显了来自于“我”这个没有更多背景交代的旁白的苍白和单薄。', '看过两遍。如果中国大陆电影能处在二三四十年前的水平，也还是会受到尊重的。', '内蒙古草原民族的习俗和情感,这部电影要用心看.', '蒙语对白，看字幕看了故事大概。高清版应该很漂亮。', '一个草原醉鬼收养狱友儿子的故事，也就宝日玛清醒一点，不然孩子早被醉鬼搞死了。', '3年后我才看懂', '太棒了！这所有感动爆发的那一瞬，故事结束了，剩下我一个人在故事外泪如雨下。国产精品的好电影。', '质朴的草原生活和草原牧民的质朴情感', '记录了草原人民的真实生活，甚至给我一种错觉就是真实的记录，不是拍得电影，只是时间有些久远，女主演得太好了，贴近生活又走心，优秀。', '太喜欢蒙古文化了。', '粗暴的爱和宽容的爱，电影朴实温暖！', '我想去内蒙古草原！', '【Masterpiece】A 摄影极佳，运镜考究，旁白多余，希望修复。比王瑞的那部《白云之下》好看很多，少数民族聚居区亘古不变的是人与天的纠缠，一望无边的草原总有种神奇的力量，吸引人们来到这里，被原生态的万物滋养，被真性情的民族感化。想起前几天看过的《我的美丽乡愁》，艾丽娅饰演的蒙古族大姐纵情高歌，畅谈饮酒，宽慰发生不悦的客人，那种场景很难不令人动容。', '画面模糊，字幕看的很费劲，也不影响我看的稀里哗啦，如果故事就停留在那一声声腾格里那个画面就好了', '最近看过的几个关于蒙古族电影中最好的一部。不仅鲜活地呈现了蒙古人的生活方式，习俗，还有他们的情感和信仰。如果能更好展现草原美景会更好。看到的是蒙语的，比汉话配音感觉好很多。', '质朴真情。', '一个孤独的民族，他们延续祖先的传承，生生不息！', '婚礼、牛奶吉祥浴、那达慕赛马、套狼', '好想回到那草原……', '故事完整又顺畅、画外音太加分了，台词又动人。', '辽阔的草原，奔驰的骏马，铮铮的汉子，草原的图腾，心中的向往！感觉这才是活着，活过！', '鸿雁，别怪我这SB孩子，他是城里来的，不懂事', '在电视上看了短短十分钟，就知道是一部好电影。 现在看完了，很不错，情节有一点点简单，总体还是很好的。 好电影真的只要把事情说明白就可以了。', '网上的资源不清楚，影响心情', '没有旁白就是完美', '中国真好，那么多民族，那么美的文化差异。如果修复一下就更好了，字幕有些看不清。成年男主声音真好听…', '狮子般矫健的新郎.......真不知道狮子和蒙古草原有毛关系。。。这孩子城市里来的不懂事。。。', '情感 长调 博大包容', '有些散了。', '有些台词真的好笑，但也阻止不了我的热泪', '我不是草原的孩子，却钟情于那块土地。', '渣渣画质，除了主人公的话外音，其他都是看画面猜的，不过也很被吸引。', '很喜欢这种具有民族风情的片子 可惜优酷字幕太糊 又听不懂蒙语而受到些影响', '父亲的草原，母亲的河。', '知道这个片子应该是N年前片子刚刚杀青的时候，在CCTV6的某个电影报道里看到的，很短的片花就被吸引住了。虽然很早就搞到了片子，但是一直没舍得看，今天终于鼓起勇气看完了，果然和想象中的一样好，真的没法用过多的语言来形容了，激动中~~~', '大地上来往宗教，信仰太多，而我们的祖宗却只一个。', '文艺片果然还是我的最爱', '有故事，有镜头，无法形容的精彩。', '非常喜欢的一部电影', '灵气的草原风景下，叙述一段蒙古人的生活与感情纠葛！里面也有一段蒙古人对狼的态度，感觉比狼图腾接地气多了', '只能找到配音版，看一会就知道是好东西，但是真不想往下看，兄弟俩套狼后的那段台词我估摸着原文应该是，弟弟说以前看见过嫂子的奶子，哥哥说那这几年你和嫂子睡了没，于是弟弟暴起……汉语就成了有没有人追过嫂子。这你让我怎么看，分上上，电影留着，等等蒙语版', '美妙的腾格里', '虽然画面很渣，但的确有打动人的力量', '当年旅游时候看到哭得撕心裂肺', '草原人民就像野草，被霜冻死，被火烧死，明年春天又会长出来。草原教给人坚强，人用柔情对待草原，宝日玛的柔情使人重生。', '假如没有旁白应该四星，有了旁白，让一部草原诗文变成了小学生作文。']","['https://img9.doubanio.com/view/photo/m/public/p2487676135.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2187761986.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2378164709.jpg', 'https://img1.doubanio.com/view/photo/m/public/p2871213109.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2187761996.jpg']",./data/post_video/塞夫/天上草原/image,['https://img9.doubanio.com/view/photo/sqxs/public/p2631470404.jpg'],./data/post_video/塞夫/天上草原/image,[],./data/post_video/塞夫/天上草原/video
一代天骄成吉思汗,https://movie.douban.com/subject/1858095/,塞夫,冉平,"['艾丽娅', '涂们', '巴森']",6.6,540,"好于18%战争片,好于36%冒险片",剧情/战争/冒险,中国大陆,汉语普通话/蒙古语,2000-04-01,108分钟,公元12世纪，广袤辽阔的蒙古大草原，由于群龙无首，不同部落之间征伐兼并，屠戮仇杀，将原本的宁静祥和击得粉碎。是时，蒙古人依然保持着抢亲习俗，他们相信婚姻成就的越快，生下的孩子便越勇猛。在一个飘雪的寒冷日子里，乞颜部可汗也速该半路上抢走了蔑尔乞部的新娘诃额伦，而他们便成为了日后草原上的雄鹰——铁木真的父母。部落间的仇杀纷争没有穷尽，铁木真就在血雨腥风之中降生人间。曾经雄霸一方也速该也无法避免死于他人之手的厄运，而他的部落更遭遇了前所未有的灭顶之灾。忍辱负重的铁木真最终夺回乞颜部落可汗之位，并娶到孛尔贴为妻。可是当年被也速该羞辱的蔑尔乞人以牙还牙，抢走了孛尔贴。动荡的修罗场，一代霸主的传奇拉开序幕……,"['金爵奖 最佳影片(提名)', '最佳故事片(提名)', '金鹿奖 最佳华语故事片']",[],"['https://img1.doubanio.com/view/photo/m/public/p2516393807.jpg', 'https://img3.doubanio.com/view/photo/m/public/p2497140030.jpg', 'https://img3.doubanio.com/view/photo/m/public/p2374992240.jpg', 'https://img2.doubanio.com/view/photo/m/public/p2367470991.jpg', 'https://img1.doubanio.com/view/photo/m/public/p1880381948.jpg']",./data/post_video/塞夫/一代天骄成吉思汗/image,"['https://img9.doubanio.com/view/photo/sqxs/public/p2512983096.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2512983105.jpg', 'https://img2.doubanio.com/view/photo/sqxs/public/p2367478203.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2367478234.jpg', 'https://img9.doubanio.com/view/photo/sqxs/public/p2617399434.jpg']",./data/post_video/塞夫/一代天骄成吉思汗/image,[],./data/post_video/塞夫/一代天骄成吉思汗/video
悲情布鲁克,https://movie.douban.com/subject/1834694/,塞夫,柳城,"['涂们', '董娉', '巴音', '契那日图', '谷子']",6.6,936,"好于19%历史片,好于19%战争片",剧情/历史/战争,中国大陆,汉语普通话,1995(中国大陆),86分钟,故事发生在九一八事变之后，日军的铁蹄踏上了宁静而又美丽的草原，他们和统治草原的布鲁克王爷勾结在一起，联手压迫生活在同一片草原上的牧民们。车凌（巴音 饰）是草原骑士中的一员，这个充满了正义和责任感的群体以他们的实际行动抵抗着日军的侵犯和凌虐。一场意外中，王府卫队的队长嘎拉森开枪打伤了车凌，良心发现的他感到十分内疚，痛恨自己之前的所作所为至极，只能以死谢罪。卓拉（董娉 饰）是嘎拉森的妻子，善良的她救下了身负重伤的车凌，可等待着她的，却是她的丈夫那冰冷的尸体。刚开始，卓拉以为是车凌杀害了嘎拉森，但当误会解除后，车凌的勇敢与正直令卓拉坠入了情网。,"['最佳男配角(提名)', '集体表演奖', '最佳观赏效果奖']","['拍的过程太残忍了，这是部好电影，但我受不了就那样把马推下山崖，不是人就活该死吗', '蒙古和俄罗斯不答应 日本怎么可能统一远东 真是异想天开', '看得删减版，这个剧情对我来说也是毫无吸引力。', '感谢CCTV6终于让我看到了这部电影。说起来为什么满世界找这个片子还是因为在中国武侠电影人物志节目的片尾曲中看到了那一段夕阳草原醉马，兄弟情义，家仇国恨，草原情结，江湖儿女，这一长段戏可谓淋漓尽致，天地为之抒怀，江湖为之心荡。', '其中的一段马背传酒的场景是我看过最美的之一', '为了那匹被导演摔死的马，一星多了', '剧本属于垃圾级别的，老一辈的电影人水平是真不行啊。', '7.5，这样的草原电影已成绝响', '单那个四人骑马饮酒的镜头 便值5分', '没看过 标签：伤害动物', '勉强4星。醉马骑马的场面是不错，但是故事逻辑性太差，尤其是扎那这个角色。逻辑欠奉情绪先行。', '醉马简直浪到飞起。', '看了开头那些马的场景，似真似假分不清；特意查了一通，确凿是让真马坠崖了。那还有啥好说的，一星，也不看了。', '卓拉7', '《东归英雄传》《悲情布鲁克》，小学时候就看过，印象很深刻，很惨烈，很悲壮！', '优秀的蒙古草原抗日片', '“他根本就没有妈妈，他是在马群里喝马奶长大的。”“你的誓言使你有了今天，你活着不就是在这人鬼之间吗。我用这种形式举行婚礼是为了惩罚你和我，因为在布鲁克草原上，你我都犯下了不可饶恕的罪过。”这是形而上学的味道。另外东倒西歪骑术和马震，很可以。', '烂片，马儿的冤魂永远跟着垃圾导演！', '就为了拍一匹马坠落悬崖的镜头就玩真的让马匹死亡，用道具能有什么区别。女主角的遭遇看来毒誓不能随便发呐。', '小时候就被草原驰骋，马上激吻所迷醉。再次看到此片，领会到更深刻的意义，有一种更伟大的力量在里面，值得永久怀念！', '蒙古精神。', '小学时候看的 影响最深的是有个女主角背面全裸殉情的镜头 小时候一度以为是部色情电影', '马上传酒壶那个镜头太经典了，必然留刻于电影史上！那些说摔马的，别的电影电视剧里杀猪杀鸡的也多的是了，咋不见你们去评论呢', '塞夫摔马，不是不报，时候一到，《八月》《告别》', '说起马震，还是悲情布鲁克那段更好', '悲情不是布鲁克，悲情的是没有感情的人，把活生生的马推下悬崖，给了马主人500块，虐待动物从来都不是必须的行为，虐杀更是为生而为人感到羞耻。', '相对完整地看了一遍，挺迷人的', '90年代是个很奇特的年代，前有《犬王》实景炸狗，后有《悲情布鲁克》悬崖摔马，后者之所以给我的困惑更大，是因为到底是何种“信念”，会让敬畏自然生灵、爱马如命的蒙古人也干起这种事来？这和两年后拍的《黑骏马》中娜仁花在漫天飞雪中抱着小马恸哭的场景简直形成了鲜明的对比。我不理解也觉得悲哀，难道因为你是抗日电影就高人一等吗……但你始终是电影，你面临的不是生死抉择。我佩服演员巴音的舍命拍戏，但那是他的选择，马没有。我一直觉得马才是蒙古人的灵魂幻化，蒙古人啊……别忘了我们的伴生是草木枯荣、生灵生息、星移斗转……当有东西让你忘记了自己的灵魂的时候，你该低头看看你胸中的火焰是否还在燃烧。', '小时候看的，但没什么印象~昨天又看了遍..', '马上动作片', '马戏真的很美，这个剧情也真的很迷', '绝对是印象中最深的草原马震戏！总是误记成《嘎达梅林》。', '悲壮、苍茫，民族气息浓厚。一直知道这部片子，今天得看。虽然现在看来很多镜头过于夸张（再发展发展就是手撕鬼子），但其中浓郁的蒙古族风情倒是很足的。让我想起凌力的《北方佳人》。不知道是文学艺术塑造了我心中少数民族汉子的形象，还是他们本就如此，总之，这样威武雄壮又血性真性情的汉子，一直是我喜欢的。他们生在天地间，对大自然对神灵草原动物和自己都有着从不动摇的信任和尊重，这是我们不曾有的。“马震”和“醉马”，啧啧。原来巴赖是涂们老先生演的呀，根本没看出来，人物性格鲜明很抢镜。看片尾字幕才知道“潮尔”，呼麦属于潮尔。坠马那个，现在看来是非常不应该的。画面不是很清晰，还暗，今天声音倒是正常了。无字幕。小寒节气·资料馆“怀念影人——涂们”。宫崎骏81岁生日。with小F。2号厅。十三四个人。', '看过最早的马阵；打架被断臂，拿起断臂接着打', '少数民族电影，当年央视电影频道播过未删减版，记得非常清楚', '电影是24格的真理，2019年9月8日杭州放映，一个人站出来捍卫了电影', '可能看到的版本不是完整的，有些地方没有弄明白，不过电影确实很不错！', '忘了看的是不是这个', '看了张承志的小说，再来看这部电影，感慨万千。该片场面很震撼，一开马震之始。但故事太乱，为乱而乱，人物设定有些不知所云。', '抒情场面拍得特别好 四人马上饮酒如打醉拳般肆意风流 直肠子死于日本人之手大哥冲着天空开枪正面居中镜头“大哥送你回家”的壮烈豪迈 车凌显示拒绝示爱旋即后悔在马上以雄鹰展翅般的姿势俯冲向女人 马上情欲戏难度颇高啊 其余节奏 内容安排 台词实在是很不稳定 开头也没交代清楚背景就整大段大场面追逐戏动作戏 像打游击似的几次打日本人抢回牲畜都是匆匆上马没什么过渡和交代 打就完了 像是后来重新配的音台词不少听起来深沉但在那说啥呢 最后冒出来的蒙面人整这一出就为了一个女人就弄啥呢 死后的大哥被架成一尊金刚像般倒是颇震撼 草原人的誓言不可更改 于是宣誓忠主的自己坠了崖 发誓报仇的随新的男人一把火一起去了', '马背上啥都能干', '范爷“马震”算啥，20年前就有人拍过“马震”了。', '骑术炫技。这个片子有和犬王一样的情节，怕是以后也会被抓出来。涂们和巴音还特地在 告别 里面找补了一小下。。1905和B站都是删减版，好在完整版也不难找。', '通过导演塞夫和麦丽丝的女儿的导演作品《告别》知道的这部影片。多次出现的万马奔腾的场景很震撼，马背传酒饮酒和单绳套马在草原漂移，还有马震的场景拍的太美太壮阔了，感觉可以纳入影史。只能说蒙古人太会拍马了。', '醉骑那段看过很多遍。想看高清版。', '大爱内蒙，大爱草原，这部影片一定要看的，终于有时间看完，那段醉酒在马上的表演，真的是展现蒙古草原的辽阔，蒙古汉子的豪迈，大赞！蒙古人天生就是骑马的好手，看的赏心悦目，涂们演的痞的巴赖真的好棒，被日本军杀了，死太惨了！悲情布鲁克真的好悲，难忘！', '只想看一眼巴音布鲁克。草原汉子马上醉酒太潇洒。', '跟同类型的片子《赛德克·巴莱》比，差的吓人。人物表现过于简单直白。打日本人完全就是草原版本的抗日神剧……可能唯一的好在于骑马功力、群马调度……', '今天在影院，看到一位观众为了自己热爱的东西毫不让步，佩服', '真的是巧极了，看这个电影的时候，我正在新疆巴州的巴音布鲁克玩。时逢蒙古建自治区纪念，中央电视台电影频道正在回放一些具有蒙古情调的电影。那天布鲁克正在下雨，我们没有外出，躺在宾馆里，实在无聊，就看电视咯。电影频道正在放这个电影，十分激动地看了。最美的是他们英雄三兄弟骑在马背上，在草原上奔驰，抛扔酒囊，那个场面真是太让人迷醉了。还有就是那个美丽的九曲十八弯。多让人向往啊。 第二天，天放晴了，我们驱车去九曲十八弯，之前，在蒙古包里吃了手抓肉，在天鹅湖畔纵马疾驰，那个爽的啊……太阳要落山的时候，我们来到了九曲十']","['https://img1.doubanio.com/view/photo/m/public/p2504981117.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2869916066.jpg', 'https://img9.doubanio.com/view/photo/m/public/p2504981046.jpg']",./data/post_video/塞夫/悲情布鲁克/image,"['https://img2.doubanio.com/view/photo/sqxs/public/p2869916083.jpg', 'https://img3.doubanio.com/view/photo/sqxs/public/p2869916070.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2869916069.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2869916068.jpg', 'https://img1.doubanio.com/view/photo/sqxs/public/p2869916067.jpg']",./data/post_video/塞夫/悲情布鲁克/image,[],./data/post_video/塞夫/悲情布鲁克/video
